,0대,10대,20대,30대,40대,50대,60대,70대,80대,90대,100세 이상
소계,546154,758577,1461316,1470003,1476017,1531180,1327545,722613,329715,43462,1426
종로구,6559,10735,27787,21014,20982,25061,20952,11556,6600,932,34
중구,6313,6909,21404,22120,18283,20648,18898,10432,5504,850,29
용산구,12886,15451,33676,41419,35389,37195,30318,15744,8987,1365,52
성동구,17968,18917,45156,46557,42643,45743,38809,20199,9980,1218,50
광진구,16678,25060,66308,56979,50188,54710,46016,22985,10650,1308,43
동대문구,18664,23627,68182,50800,49232,52729,48409,27928,13677,1580,56
중랑구,20413,24947,52889,58911,55251,66189,62900,32317,14329,1731,51
성북구,25675,36931,72533,58952,66307,71106,58046,33165,16941,2144,55
강북구,12711,20072,41073,36571,42058,51196,47893,29468,14314,1532,46
도봉구,15222,23320,39585,38690,44264,54841,52608,28344,14116,1816,52
노원구,27828,49251,69731,62325,78161,86441,72611,38672,19146,2739,84
은평구,25273,36258,63301,66558,71870,77266,68067,38852,19160,2111,50
서대문구,18693,23338,56980,46778,46301,49864,41610,23574,13142,1627,59
마포구,21818,27785,65115,65671,59271,56307,42506,23574,12732,1697,66
양천구,26670,48378,54432,54500,74396,75687,62561,31263,12549,1850,59
강서구,33202,42989,82622,98837,88817,84234,80793,42127,17378,2636,76
구로구,25161,29399,53834,65422,63868,68459,62327,33802,13994,1669,48
금천구,11307,13774,36851,39940,32662,42120,37953,18841,8047,941,31
영등포구,24386,24286,59813,73779,58765,62021,52809,28035,13366,1689,50
동작구,21226,27047,68889,61141,56580,58456,51277,30025,13855,1817,64
관악구,18135,26935,115634,90786,64915,68572,62020,37371,16465,1736,59
서초구,28842,44949,50666,57681,73710,64198,47910,27945,11296,1723,59
강남구,32605,60648,69134,77917,98019,84103,61734,37203,14124,2245,85
송파구,45614,58265,87627,106721,108477,102607,89995,44951,16719,2635,93
강동구,32305,39306,58094,69934,75608,71427,68523,34240,12644,1871,75
