Unnamed: 0,0대,10대,20대,30대,40대,50대,60대,70대_이상,User점수
소계,546154,758577,1461316,1470003,1476017,1531180,1327545,1097216,1327828.5457755956
송파구,45614,58265,87627,106721,108477,102607,89995,64398,91192.41533460878
강서구,33202,42989,82622,98837,88817,84234,80793,62217,79387.82576110371
관악구,18135,26935,115634,90786,64915,68572,62020,55631,73647.42404258027
강남구,32605,60648,69134,77917,98019,84103,61734,53657,73530.12849107114
노원구,27828,49251,69731,62325,78161,86441,72611,60641,67506.2444683318
은평구,25273,36258,63301,66558,71870,77266,68067,60173,62900.19872477906
강동구,32305,39306,58094,69934,75608,71427,68523,48830,62724.80358145342
성북구,25675,36931,72533,58952,66307,71106,58046,52305,60323.04809421801
양천구,26670,48378,54432,54500,74396,75687,62561,45721,59043.78956376404
구로구,25161,29399,53834,65422,63868,68459,62327,49513,56592.31454396155
영등포구,24386,24286,59813,73779,58765,62021,52809,43140,55966.58620943052
서초구,28842,44949,50666,57681,73710,64198,47910,41023,55446.180940556624
동작구,21226,27047,68889,61141,56580,58456,51277,45761,54432.955997870646
마포구,21818,27785,65115,65671,59271,56307,42506,38069,53702.46267261496
중랑구,20413,24947,52889,58911,55251,66189,62900,48428,52595.752308582276
광진구,16678,25060,66308,56979,50188,54710,46016,34986,50051.726275242305
동대문구,18664,23627,68182,50800,49232,52729,48409,43241,49366.95774271196
서대문구,18693,23338,56980,46778,46301,49864,41610,38402,44546.9312658986
도봉구,15222,23320,39585,38690,44264,54841,52608,44328,40787.72085956933
성동구,17968,18917,45156,46557,42643,45743,38809,31447,39937.342114504994
강북구,12711,20072,41073,36571,42058,51196,47893,45360,38917.068117169256
금천구,11307,13774,36851,39940,32662,42120,37953,27860,33548.46298193551
용산구,12886,15451,33676,41419,35389,37195,30318,26148,32422.43211396667
종로구,6559,10735,27787,21014,20982,25061,20952,19122,21032.614476372437
중구,6313,6909,21404,22120,18283,20648,18898,16815,18225.159093297738
